Location,Param,Units,Parameter,SampleLevel
Nearshore,Bot.CDOM,pcu,CDOM,Bottom
Nearshore,Bot.Chl.red,rfu,Chl red,Bottom
Nearshore,Bot.Chla,rfu,Chl a,Bottom
Nearshore,Bot.DO,mg/L,DO,Bottom
Nearshore,Bot.DO.sat,%sat,DO,Bottom
Nearshore,Bot.Lower.Apogee,par,Lower Apogee,Bottom
Nearshore,Bot.Sal,psu,Salinity,Bottom
Nearshore,Bot.Temp,C,Temperature,Bottom
Nearshore,Bot.Turb,ntu,Turbidity,Bottom
Nearshore,Bot.Upper.Apogee,par,Upper Apogee,Bottom
Nearshore,Bot.pH,SU,pH,Bottom
Nearshore,Bottom.Conductivity,us/cm,Conductivity,Bottom
Nearshore,Entero,col/100ml,Entero,Middle
Nearshore,Normalized_KdPAR,1/meter,Normalized KdPAR,Middle
Nearshore,Surf.CDOM,pcu,CDOM,Surface
Nearshore,Surf.Chl.red,rfu,Chl red,Surface
Nearshore,Surf.Chla,rfu,Chl a,Surface
Nearshore,Surf.DO,mg/L,DO,Surface
Nearshore,Surf.DO.Sat,%sat,DO,Surface
Nearshore,Surf.Lower.Apogee,par,Lower Apogee,Surface
Nearshore,Surf.Sal,psu,Salinity,Surface
Nearshore,Surf.Temp,C,Temperature,Surface
Nearshore,Surf.Turb,ntu,Turbidity,Surface
Nearshore,Surf.Upper.Apogee,par,Upper Apogee,Surface
Nearshore,Surf.pH,SU,pH,Surface
Nearshore,Surface.Conductivity,us/cm,Conductivity,Surface
Watershed,CDOM,pcu,CDOM,Surface
Watershed,Chla.blue,rfu,Chl a blue,Surface
Watershed,Chla.phor,rfu,Chl a phor,Surface
Watershed,Chla.red,rfu,Chl a red,Surface
Watershed,Conductivity,us/cm,Conductivity,Surface
Watershed,DO.mgl,mg/L,DO,Surface
Watershed,DO.sat,%sat,DO,Surface
Watershed,Ecoli.100ml,1/100ml,E. coli,Surface
Watershed,Fcoli.100ml,1/100ml,Fecal Coliform,Surface
Watershed,Monochlorine.mgl,mg/L,Monochlorine,Surface
Watershed,NH3.mgl,mg/L,NH3,Surface
Watershed,NH3_field,mg/L,NH3 field,Surface
Watershed,NH4.mgl,mg/L,NH4,Surface
Watershed,NO2.mgl,mg/L,NO2,Surface
Watershed,NO3.mgl,mg/L,NO3,Surface
Watershed,OP.mgl,mg/L,OP,Surface
Watershed,Optical.Brightness,rfu,Optical Brightness,Surface
Watershed,Sal.psu,psu,Salinity,Surface
Watershed,Salinty.hand,psu,Salinity hand,Surface
Watershed,TKN.mgl,mg/L,TKN,Surface
Watershed,TN.mgl,mg/L,TN,Surface
Watershed,Temp.c,C,Temperature,Surface
Watershed,Turb.hach,ntu,Turbidity hach,Surface
Watershed,Turb.ntu,ntu,Turbidity,Surface
Watershed,pH,SU,pH,Surface
