"Year","Station","Transect","Parameter","Value"
2014,"Cabra","15","Epiphytes",5
2014,"Cabra","15","Epiphytes",5
2014,"Cabra","15","Epiphytes",5
2014,"Cabra","15","Epiphytes",5
2014,"Cabra","15","Epiphytes",5
2014,"Cabra","15","Epiphytes",5
2014,"Cabra","15","Epiphytes",5
2014,"Cabra","15","Epiphytes",5
2014,"Cabra","15","Epiphytes",5
2014,"Cabra","15","Epiphytes",5
2014,"Cabra","15","Epiphytes",5
2014,"Cabra","15","Epiphytes",5
2014,"Cabra","15","Epiphytes",5
2014,"Cabra","15","Epiphytes",5
2014,"Cabra","15","Epiphytes",5
2014,"Cabra","14","Epiphytes",5
2014,"Cabra","14","Epiphytes",5
2014,"Cabra","14","Epiphytes",5
2014,"Cabra","14","Epiphytes",5
2014,"Cabra","14","Epiphytes",5
2014,"Cabra","14","Epiphytes",4
2014,"Cabra","14","Epiphytes",5
2014,"Cabra","14","Epiphytes",5
2014,"Cabra","14","Epiphytes",5
2014,"Cabra","14","Epiphytes",5
2014,"Cabra","14","Epiphytes",4
2014,"Cabra","14","Epiphytes",5
2014,"Cabra","14","Epiphytes",5
2014,"Cabra","14","Epiphytes",5
2014,"Cabra","14","Epiphytes",5
2014,"Cabra","14","Epiphytes",5
2014,"Cabra","14","Epiphytes",5
2014,"Cabra","14","Epiphytes",4
2014,"Cabra","14","Epiphytes",5
2014,"Cabra","14","Epiphytes",5
2014,"Cabra","14","Epiphytes",5
2014,"Cabra","14","Epiphytes",5
2014,"Cabra","14","Epiphytes",5
2014,"Cabra","14","Epiphytes",5
2014,"Cabra","14","Epiphytes",5
2014,"Cabra","13","Epiphytes",5
2014,"Cabra","13","Epiphytes",5
2014,"Cabra","13","Epiphytes",5
2014,"Cabra","13","Epiphytes",5
2014,"Cabra","13","Epiphytes",5
2014,"Cabra","13","Epiphytes",5
2014,"Cabra","13","Epiphytes",5
2014,"Cabra","13","Epiphytes",5
2014,"Cabra","13","Epiphytes",5
2014,"Cabra","13","Epiphytes",5
2014,"Cabra","13","Epiphytes",5
2014,"Cabra","13","Epiphytes",5
2014,"Cabra","13","Epiphytes",5
2014,"Cabra","13","Epiphytes",5
2014,"Cabra","13","Epiphytes",5
2014,"Cabra","13","Epiphytes",5
2014,"Cabra","13","Epiphytes",5
2014,"Cabra","13","Epiphytes",5
2014,"Cabra","13","Epiphytes",5
2014,"Cabra","13","Epiphytes",5
2014,"Cabra","13","Epiphytes",5
2014,"Cabra","13","Epiphytes",5
2014,"Cabra","13","Epiphytes",5
2014,"Cabra","13","Epiphytes",5
2014,"Cabra","13","Epiphytes",5
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","15","Halodule Density",0
